,cr,CrType,Sentiment,Knowledge,UltimateCategory
1,类似换行包含空格建议去除,1,1,1,0
2,同上面一个，如果代码是针对某一过时机型的，可以直接删除，不需要log,1,1,1,0
3,多余的局部变量，下面还有几处isVodAac5X  isVodAac7X,1,0,0,4
4,代码直接删除，不要注释掉,1,1,0,1
5,覆写基类后，丢掉了搜索按钮功能。,1,0,0,4
6,参数放到上面，参考Http模块,1,1,0,1
7,此处不应该返回null,1,1,0,1
8,自测用例不可以删掉，有问题要修改对应的问题,1,1,1,0
9,日志打印修改成英文,1,1,1,0
10,保持和pad一致,1,1,0,1
11,接口的定义以卡券类型进行分类，入参控制是否是更多,1,1,1,0
12,点击回调对象的判空应该放到点击事件触发的时候，否则会存在程序异常,,1,1,
13,控制下全局变量的定义,1,1,0,1
14,问题同卡券列表页面,1,0,0,4
15,包含三种布局，其实只要一种，不合理,1,1,0,1
16,报IMSI？,1,0,0,4
17,这块逻辑放到MePrsenter中比较好吧，避免因为历史记录的功能，打破原有的Me模块的MVP架构（其它接口的调用也是同样的）,1,1,1,0
18,"1.同MainActivity中的问题，异步处理放到M层
2.HistoryContrller和HistoryManager是否可以统一",1,1,1,0
19,注意单个字符的修改成单引号,1,1,1,0
20,反注册呢？,1,0,0,4
21,这里级别应该是i,1,1,1,0
22,这边应该改成up_id,1,1,0,1
23,"日志打印，需要整改一下

改为e(String tag, String message, Throwable cause)",1,1,1,0
24,判空,1,1,0,1
25,数组越界风险,1,0,0,4
26,this should be a constant (please test this after modification),,,,
27,魔鬼数字,1,0,0,4
28,界面展示日志是否涉及显示本地化日期？ 如果涉及需要使用A_NAME提供的时间工具类,1,1,1,0
29,拷贝未修改,1,0,0,4
30,这种列名索引取个有意义的常量名称，如deviceType_index，读起来也容易。,1,1,1,0
31,异常场景日志不应用info,1,0,1,2
32,多余的啊,1,0,0,4
33,增加getResource判空,1,1,0,1
34,这是什么？,1,0,0,4
35,变量定义和初始化放到一行即可,1,1,1,0
36,增加注释，表明只支持2个tab场景，后续优化等。如果不这么做，有什么问题。,1,1,1,0
37,入参需要判空,1,1,1,0
38,"可以用 DetailConstant.DEFAULT+""""",1,1,0,1
39,魔鬼数字,1,0,0,4
40,import顺序,1,0,0,4
41,提取常量呢,1,0,0,4
42,拼写错误,1,0,0,4
43,注释没改,1,0,0,4
44,此处可能会被质疑鉴权被绕过的问题，但是api的支付上报接口也是1.7之后才走UP做鉴权，前面的也没做严格鉴权，所以问题是一样的，为了兼容老版本，都需要备案,1,1,1,0
45,需要考虑解密出来是空的情况（有时候解密失败会返回空字符串）,1,1,1,0
46,回调的处理放到Task中处理，保持Model层的简洁,1,1,1,0
47,这个 -24 是服务端返回的？,1,0,0,4
48,没有关系，只是顺手优化了下,1,0,0,4
49,"应该是是否支持多声道输出。
SET_AUDIO_MULTI_CHANNEL_RENDER",1,1,1,0
50,中文是解绑，这里翻译的正好相反，请修改,1,1,1,0
51,代码格式化,1,1,0,1
52,添加有意义的注释,1,1,0,1
53,语义不一样了,1,0,0,4
54,id不要打印,1,1,1,0
55,"跳转都单独放在一个类里，ViewModel不处理和View相关的，不然后面不好后续做单元测试会跑不起来。
参考guolifeng的",1,1,1,0
56,魔鬼数字，格式,1,0,0,4
57,isTrustH5,1,0,0,4
58,增加本地flag判断，不需要删除代码，需求完成后只要把停用flag放开即可,1,1,1,0
59,没有任何成员变量，可以改成静态方法。,1,1,1,0
60,"这个函数提供的逻辑应该是，传入栏目ID，当前APP版本号，返回是否需要引导。

服务器返回的数据要解析好存在map里，不要每次都去split",1,1,1,0
61,这个地方是用一个hashset作为map的key?,1,0,0,4
62,为什么不直接返回authinfo.getauthorizations,1,0,0,4
63,default access specifier would have been better (you'll need to test),1,0,0,4
64,局部变量命名不规范,1,0,0,4
65,这个三目运算可以提到上面，不用计算两次,1,1,1,0
66,maxLines=1要跟缩略展示策略同时存在,1,1,1,0
67,这里为啥要使用Map？直接使用列表mQueryDetailFavorites不行？,0,0,0,7
68,内存泄露,1,1,0,1
69,int和string的对应，可以用map来处理，不需要写switch case,1,1,1,0
70,公共的路径可以放到基类里面去处理,1,1,1,0
71,混淆问题,1,0,0,4
72,判空,1,1,0,1
73,不符合驼峰规则,1,1,0,1
74,命名,1,1,0,1
75,功能逻辑实现不正确，隐藏购买按钮后就会触发播放,1,0,1,2
76,同步框架两种下载方式，没有正确初始化serverIp变量，需要修改,1,1,1,0
77,使用e.getMessage,1,1,0,1
78,删除,1,1,0,1
79,色值抽取成color统一管理,1,1,0,1
80,需要日志吗?,1,0,0,4
81,定义成枚举更好些,1,1,1,0
82,测试,1,0,0,4
83,BaseAdvertView更合适,1,1,1,0
84,放在这里不合适,1,0,0,4
85,多余,1,1,0,1
86,成员变量多余,1,1,0,1
87,最好第一个参数加上Locale,1,1,0,1
88,写 GUI提供的切图,1,1,0,1
89,这两个方法后续考虑去掉吧，直接使用Task进行调用,1,1,0,1
90,入口处增加注释,1,1,0,1
91,不需要重试,1,1,0,1
92,状态的判断有问题,1,1,0,1
93,BaseVoucherInfo是否有继承BaseJson类，如果没有，混淆的时候会有问题,1,1,1,0
94,这种接口可以放到工具类中,1,1,1,0
95,"这个再次出现
感觉代码重复，能否合并？",1,1,1,0
96,同样，卡夹不需要理解这些,1,1,1,0
97,这个由外部注入，卡夹不应该修改逻辑,1,1,1,0
98,没对url判空,1,1,0,1
99,这个颜色 有木有现成的 已经适配深色主题的,1,0,0,4
100,是否可以将魔鬼字符串抽取为常量,1,1,0,1
101,这个是不是多余？,1,0,0,4
102,数据，请求全放在ViewModel里,1,1,1,0
103,常量equal,1,0,0,4
104,TAG 与函数命令不一致,1,0,0,4
105,缺少文件头注释,1,0,0,4
106,可以用ApkUpgradeInfo的fromJson,1,1,1,0
107,为啥使用sql.date?,1,0,0,4
108,"1 这里的t_cmp_mvpackage_info使用了别名t, 那么where条件和select的字段应该都使用t.xxxx。
2 这里的select的字段列表应左对齐
3 建议使用关联查询left join，不要使用子查询。",1,1,1,0
109,入参判空,1,1,0,1
110,"1.text布局文件中不要写默认值
2.文字大小、间距等放到dimens配置文件中",1,1,1,0
111,"BaseOnlineMusicCatalogActivity
onNewIntent
增加允许不替换fragment能力",1,1,1,0
112,使用@Autowired自动注入,1,1,0,1
113,125行多余了,1,0,0,4
114,缺少文件头注释，按统一模板执行；本次提交的文件统一排查,1,1,1,0
115,其它场景如何操作,1,0,0,4
116,是否会为空,1,0,0,4
117,注意记录日志,1,1,0,1
118,A_NAME把很多打点方法都写成了onAnalyticsAdvertClickEvent这个名字，最好改成不同的方法名,1,1,1,0
119,多余的null设置,1,0,0,4
120,"1、只需要一个错误回调即可；
2、成功的场景也需要给回调出去；",1,1,1,0
121,这个布局文件中的尺寸定义都抽取到dimens中，多分辨率适配中会涉及有多个定义,1,1,1,0
122,应该初始化直播对象,1,1,1,0
123,注释和实际内容不符,1,1,0,1
124,不要用自己定的加A_NAME规范，用现有的STUtils.encrypterCbc,1,1,1,0
125,色值抽取使用,1,1,0,1
126,色值字符串抽取,1,1,0,1
127,可以使用170行定义的tmp变量的赋值。无效重复转换。,1,1,0,1
128,缺少入参为空的判断,1,0,0,4
129,import顺序,1,0,0,4
130,这种复杂逻辑判断建议添加注释，增强可读性,1,1,0,1
131,"应该使用TextViewUtils
现在存在问题,如果字符串为空,在某些版本上显示为""null""",1,1,1,0
132,这几个定义一下常量？ 好像我原先也用到160了，如果修改可以集中修改,1,1,0,1
133,不必要局部变量,1,0,0,4
134,逻辑修改反了,1,0,0,4
135,多余的返回注释,1,0,0,4
136,魔鬼数字，请修改,1,0,0,4
137,url 服务器获取,1,1,0,1
138,消息中心不使用CException，去掉CException解析和处理。,1,1,1,0
139,最好对resp加个判空的处理,1,1,0,1
140,beInfoConfigs有可能为空,1,0,1,2
141,命名统一修改下，UI已经修改为通用的目录，课程这么具体的业务命名去掉,1,1,1,0
142,"1. 权限不合理
2. 命名含糊不清",1,0,0,4
143,行尾注释，会有checkstyle,1,0,1,2
144,内部类，这种构造函数是否需要,1,0,1,2
145,注意变量的顺序，static的需要放到一起,1,1,1,0
146,注意注释的含义,1,0,0,4
147,写法再优化下,1,0,0,4
148,footer需不需要判空？,1,0,0,4
149,内部类容易泄露，看不能改成static,1,1,1,0
150,增加本地flag判断,1,1,1,0
151,该接口后续扩展性不好,1,0,0,4
152,主线程,1,0,0,4
153,方法名不符合驼峰,1,0,0,4
154,UI用的专门放到对应的Utils里,1,1,1,0
155,product是否会为空,1,0,0,4
156,import,1,0,0,4
157,此处逻辑后面会修改,1,0,0,4
158,需要添加   @Valid注解校验,1,1,1,0
159,日志级别不对，其它类似，应该只有在出了错才使用warn,1,1,1,0
160,这层有必要吗？,1,0,0,4
161,需要表明第一次设置tab页标签，当前命名不合理,1,1,1,0
162,此if与下面的两个分支完全重复,1,1,0,1
163,加case,1,1,0,1
164,这些错误不是DMP SDK的，建议用其他的类来处理,1,1,1,0
165,这个地方不应该判断和控制hasLogin,1,1,1,0
166,变量初始化后没有另外的地方赋值，请确认是否有逻辑遗漏,1,1,1,0
167,不同分支加上一些注释，其它方法类似,1,1,1,0
168,可否抽出来 做一个方法,1,1,0,1
169,子类处理的东西太多啦,1,0,0,4
170,此处使用getDataInfo比较好,1,1,1,0
171,色值抽取,1,1,0,1
172,后续去掉这个对象,1,1,0,1
173,base放前面,1,1,0,1
174,判断提前到拼接map之前,1,1,0,1
175,这个是否需要提交,1,0,0,4
176,色值抽取,1,1,0,1
177,代码格式化,1,1,0,1
178,尺寸定义放到dimens中,1,1,1,0
179,子类实现mTitleName的赋值，依赖调用initActionBar的时序。不如提供1个getActionBarTitle的方法让子类实现,1,1,1,0
180,此布局看起来无用,1,0,0,4
181,关键的操作需要记录下日志,1,1,1,0
182,接口的名称和入参注意修改下,1,1,0,1
183,是否添加前缀，1个类内部要求统一,1,1,1,0
184,这个实现不好，判断太多，用一个Map呢？,1,1,1,0
185,注意空指针,1,1,0,1
186,此接口可能返回null，增加以下判空,1,1,1,0
187,建议记录下日志，下面的onComplete也是,1,1,1,0
188,import不对,1,0,0,4
189,这个判空多余,1,0,0,4
190,这边可以写prodId,1,1,0,1
191,这边应该改成service_item_cd,1,1,0,1
192,这边还是写time吧,1,1,0,1
193,这个方法是否可以把view和cotex传进去 把方法抽出来,1,1,0,1
194,默认语言必须要有翻译,1,1,1,0
195,配置错误可能会数组越界,1,0,1,2
196,是否需要owner?,1,0,0,4
197,注释,1,0,0,4
198,已经用了工具类，就不要再判空了，这个应该是codex的误报。可以试一下对volumeSourceInfo判空，空就return，看下还会不会报,1,1,1,0
199,"用法错误，而且方法命名不合适。
建议命名为selectProduct(ProductBean productBean)
实现里不要修改currentProduct的值，而是调用set方法。",1,1,1,0
200,不用修改,1,1,0,1
201,只放需要的接口,1,1,0,1
202,这边需要打日志，同时不应该捕获Exception异常,1,1,1,0
203,抽取出来定义为常量。,1,1,0,1
204,魔鬼数字，建议定义一个常量。,1,1,0,1
205,删除,1,1,0,1
206,需要匿名化,1,1,1,0
207,只有失败，没有成功？,1,0,0,4
208,此处需要控制下，关注下GDPR的整改要求,1,1,1,0
209,两个if判断合并到一起,1,1,0,1
210,请放到  ############应用特性############# 那组中，此处是第三方SDK,1,1,1,0
211,类型转换需要检查,1,1,0,1
212,"要改一下,错误信息打到日志文件里",1,1,1,0
213,没有实现接口，不需要Impl后缀,1,1,1,0
214,为什么弄成全局变量,1,1,0,1
215,poster,1,0,0,4
216,补充PAD定义 8dp,1,1,1,0
217,"判空 -> setVisibility()建议使用已有的ViewUtil.setViewVisibility(View, int)方法",1,1,1,0
218,注释不同的情况分行写,1,1,0,1
219,只有1个分支，不适用switch case,1,0,0,4
220,这个类都废掉了吧,1,0,1,2
221,放在activty不太好吧,1,0,0,4
222,requestCount++应该放到new Task之后，然后连续进行两次start触发；,1,1,1,0
223,多余代码,1,0,0,4
224,这个变量是否可以考虑去掉,1,1,0,1
225,参考套餐的实现,1,1,0,1
226,记得提交多语言翻译,1,1,0,1
227,缺少文件头注释,1,1,0,1
228,同样，卡夹不需要理解这个概念,1,0,0,4
229,电台这块加了太多的代码，应该单独抽取，看下能不能抽取掉,1,1,0,1
230,魔鬼数字，含义不明，请定义常量,1,1,0,1
