,cr,UltimateCategory
427.0,这里为什么要抛异常,0.0
485.0,imp同上,0.0
532.0,是否有兼容性问题i？,0.0
588.0,跟27行有问题,0.0
599.0,这个字符串在哪？不是新增的？,0.0
606.0,同shang,0.0
609.0,同上,0.0
637.0,这个包克隆已经默认引入了吗？,0.0
646.0,NAS的卸载回调为什么要放在BaseActivity里面？,0.0
780.0,同上 无用的--,0.0
878.0,会话ID？,0.0
934.0,这个要赋值什么，1还是0,0.0
1001.0,参考上面,0.0
1139.0,同上,0.0
1168.0,"为什么把这个设置为visible ?
其他都一样",0.0
1195.0,为什么用dp做单位？大小不变吗？,0.0
1208.0,代码死循环？,0.0
1224.0,"这个方法我还是没看明白, 为毛""检查是否需要重新签署"", 返回是个String, 而且还和参数有关系",0.0
1228.0,多tab场景处理有没有问题,0.0
1237.0,"设置里头引擎切换, 是否需要同样逻辑?",0.0
1238.0,之前还真没注意，宽/高度用px，这是UX特别要求的？,0.0
1249.0,确认下，不为空的时候直接contine？,0.0
1250.0,"是否存在切换的场景?

1. null-check

2. 应该存在如下逻辑:

if (mDelegate != null) {
    mDelegate.removeObserver(...);
    ....(清理老delegate相关的逻辑)
}

mDelegate = delegate;
if (mDelegate != null) {
  <old operations>
}",0.0
1258.0,public? 还static??,0.0
1259.0,这里是否有else? 为何处理了响应还要继续share?,0.0
1261.0,"如果getIntent返回为null, 是否是有问题?",0.0
1264.0,怎么感觉这个高度少了actionbar的,0.0
1270.0,怎样保证LINK2一定在LINK1之后?,0.0
1274.0,日志?,0.0
1279.0,"没必要, 难怪你上面一定要删掉老的文件",0.0
1283.0,"为什么从cache保存需要单独的一个执行器, 而其他的不需要? 还有为何是1个线程?",0.0
1288.0,为啥取消要保存?,0.0
1294.0,"放在UI线程中执行的标准是什么? 我看下面也有更新DownloadInfo, 没有看到要在UI中执行.

另外这个方法要定义为返回Promise的目的是什么? 没看到有什么必要",0.0
1300.0,直接调用一个函数就行了，为啥要分开？,0.0
1301.0,也加一个,0.0
1309.0,同前面,0.0
1316.0,"这个不要改了, 我来改

这里改的不对",0.0
1323.0,"我记得好像只有图集的时候url里面才会带ctype，其他的不会带。
用这个判断是否有问题？",0.0
1324.0,这个和mToolboxMenu重复吗？,0.0
1325.0,"这个分支进不来，在上面已经经过判断了
看错行了，应该没问题",0.0
1326.0,不明白这个synchronized是要干啥用的?,0.0
1327.0,不需要这个吧？,0.0
1331.0,intent 是否可能是null,0.0
1335.0,intent 是否可能是null,0.0
1337.0,是否合适？,0.0
1346.0,是否需要remove?,0.0
1349.0,依据是什么,0.0
1352.0,这些padding值依据是什么,0.0
1365.0,这个是什么意思?,0.0
1374.0,为啥两个Type不一样?,0.0
1381.0,没定时机制? 如果10分钟无任何动作咋办,0.0
1382.0,"空格, 还有主页特殊url不是在这里判断的?",0.0
1383.0,"数据是静态的, 每次启动这里是否select都将固定, 以前版本也是这样的行为吗? 印象中是好像会记住上次的勾选?",0.0
1386.0,"两个问题：
1、有没有系统兼容问题，这个效果在8.0的手机上有吗？
2、首页扩展到全屏后InfoFlow的列表内容要适配（比如最后一个item留白），否则到底后看不到最后一个item的刷新提示。@李礼@海丰",0.0
1390.0,"同上, 其他地方请自行排查",0.0
1401.0,为何读取两次?,0.0
1403.0,理解错误，还以为所有的变更都要在升级脚本里面体现呢,0.0
1406.0,是否有必要定义为成员变量?,0.0
1417.0,这个函数好像没有用？isCastScreen没有用到,0.0
1419.0,使用静态方法是不是就可以了，不需要使用单例？,0.0
1420.0,没有用到,0.0
1436.0,"入参有infoflowrecord，为何还要传入 cpid,realcpid",0.0
1438.0,这里只捕获IOException？,0.0
1440.0,为何return false?,0.0
1443.0,这个是什么意思？,0.0
1444.0,有啥用,0.0
1446.0,为何是static？,0.0
1457.0,调试语句？,0.0
1458.0,是不是用错单词了,0.0
1463.0,是否少了return？,0.0
1465.0,"如果只是在这里改, 是不是还会涉及到initialTab的默认首页?",0.0
1473.0,"为何用name, 不用id? name是语言敏感的,这样有问题",0.0
1481.0,这里的判断也没有用了吧？,0.0
1484.0,返回true/false有何区别？,0.0
1486.0,应用下载广告是靠判断cpid=105还是ad物料里面的interactiontype=2来判断？感觉应该是后者吧，请和SE确认下,0.0
1489.0,getTags也会告警？,0.0
1490.0,横线是什么意思？,0.0
1495.0,获取一个int值，需要把整个activity传进来？,0.0
1497.0,每次都设置一把?,0.0
1500.0,这里捕获的是什么异常？,0.0
1506.0,为啥要加handler？,0.0
1508.0,变量命名是这样的？,0.0
1516.0,0代表未知类型？,0.0
1520.0,InfoBarLayout.createIconView返回的不会为空？,0.0
1523.0,NtpViewHolder.decodeTags没有可能为空？,0.0
1536.0,NtpViewHolder.decodeTag没有可能为空？,0.0
1545.0,多余代码？,0.0
1549.0,这个方法什么都没做？,0.0
1550.0,这里不需要区分是否是投屏吗？,0.0
1551.0,有必要加上它？,0.0
1555.0,没用到？,0.0
1557.0,"这个吕克已经定义过了, 看看谁改",0.0
1564.0,为何无注解?,0.0
1566.0,10是啥意思?,0.0
1567.0,我们自己的代码为啥要用zxing这个名字?,0.0
1572.0,"这个会拉起一个新的栈, 测试验证过没问题?",0.0
1573.0,"是不是应该放到onnewIntentWithNative
?",0.0
1576.0,这里为何还需要? 会导致多次调用ba?,0.0
1581.0,为什么要改buildtools的版本,0.0
1582.0,非UI线程做UI操作?,0.0
1585.0,这个我统一来修改,0.0
1589.0,为何这样就算load成功了? 加载失败的情况如何识别?,0.0
1593.0,这个函数的功能是否与se文档中的预期一致？,0.0
1601.0,是否有用SafeIntent?,0.0
1602.0,"这是出于啥考虑?
(单纯的疑问)",0.0
1606.0,这个留着干啥,0.0
1608.0,为啥这样写?,0.0
1613.0,双击后退是否也走这个流程?,0.0
1615.0,"这块如果涉及到字符串, 是否应该放到fwk还是一个问题, 周一我们一起讨论一下",0.0
1617.0,也是,0.0
1620.0,0\1\2 都是什么意思？,0.0
1625.0,导入这个干吗？,0.0
1626.0,为啥这个地方打点？,0.0
1628.0,这个顺序对么？,0.0
1631.0,1 是什么意思？,0.0
1638.0,不需要行？,0.0
1639.0,这里面没写日志的吧？,0.0
1643.0,这个地方activity为啥是空的？,0.0
