,cr,UltimateCategory
0,类似换行包含空格建议去除,12
1,请确认下mActivity有没有可能在构造方法传入是赋值为空，导致这里crash？,12
2,日志打印不规范，不要加bdxTag,14
3,这段逻辑应该是为null的时候才new吧,12
4,isEMUI90比较好,12
5,单例模式中不要长期持有context资源,12
6,注释要随代码一起修改,12
7,没有必要一个方法中嵌套一个方法调用，可以将结果放到一个成员变量中初始化即可。,12
8,冗余代码，抽成一个函数,14
9,重复代码，抽取函数,14
10,建议用对应的EMUI版本判断方法来实现该判断,12
11,"DisplayMetrics dm = new DisplayMetrics();
                display.getMetrics(dm);
                screenHeight = dm.heightPixels;
抽取成一个getDefaultDM方法。",12
12,成员变量改成private,12
13,魔鬼数字，建议设置为静态常量,14
14,抽取成一个方法。,12
15,改判断无作用，应该判断 mActivity.get()不为null才可以继续操作,14
16,这个默认可见，针对应用不超过一屏的情况，字母索引栏怎么不展现？,10
17,这个网络类型注掉，怎么能区分是WiFi网络还是移动网络？,10
18,打印日志，不允许控制台打印堆栈。,14
19,最好抽取一个方法。,12
20,这个是包名？,0
21,这个不是浪费代码么，先打印日志，然后判断小于零，直接返回0.,14
22,抽取成公共方法，建议json要判空，防止非法调用,14
23,注释不准确,10
24,不需要return,12
25,无用的代码,10
26,废弃代码请删除，createCodeDialog()相关函数,14
27,"注释描述不规范，代码会变化，2519行不一定还是现在的代码
简单描述就可以",14
28,类名比较模糊,10
29,这里的ctx与入参context有什么不同？,0
30,context从入参可以获取,12
31,重复进行判空,10
32,这里不兼容有什么风险？如果这里主动截断到秒的精度，后续JDK修正Bug可以支持到毫秒了，克隆还是支持不了，不太合理啊,10
33,无用的import,10
34,info日志打印太多,10
35,"append("";modulename = BackupObjet;"").append(""method:writeValue;doEachBackup:"")
这一句可以放到初始化的地方，出现了三次",14
36,笔误,10
37,建议放到初始化的地方，重复出现,14
38,"1.判断设置是否支持迁移，建议提到该方法开头，不要放在for循环中，全局只判断一次即可，不用每个支持的模块都得判断；
2.设置是否支持克隆的结果建议直接返回DataCache.getInstance().isSupportCloneSystemData()即可；",14
39,涉及修改sdcard上文件，使用FileFactory.getInstance() 来获取文件实例,14
40,"errorMsgBuilder.append("";table:"").append(table).append(""method:doEachRestore;errorinfo

建议放到初始化的地方，重复出现三次",14
41,硬编码数字不好啊,10
42,手机克隆应该翻译为“PhoneClone”,12
43,}else 之间需要加空格,12
44,javabean中getset方法不建议打印日志，是否有其他地方可以打印？,10
45,第一行和最后一行风格不一致,10
46,"日志中包含中文和姓名
变量和符号之间需要添加空格",12
47,直接return，减少使用变量。,12
48,if 和括号之间需要添加空格,12
49,一个打印日志，一个没有打印日志？是有特殊的考虑吗？,0
50,最好去除魔鬼数字，设置成静态常量,12
51,if前后注意空格,12
52,TAB统一替换下,12
53,有空格,12
54,英嘎改用 安全的file函数,12
55,构造弱引用，对象会在什么时候销毁，后面代码调用的时候会不会对象已经被清空了,4
56,@return不能为空， 直接删掉,14
57,空行删掉,12
58,@throws 为空格， 排查其他函数,12
59,注释空格,14
60,注释和文字之间有空格,14
61,Pac什么含义,4
62,} 和 else之前需要加空格,12
63,有tab键,10
64,"需要添加类描述
作者日期",12
65,@return 不能为空,10
66,Tab键替换,12
67,注释空格,14
68,版权与package要空一行,12
69,采用java方式定义数组,12
70,long型添加L后缀,12
71,添加异常场景说明,12
72,添加@throw,12
73,说明一下异常的场景,12
74,添加说明,12
75,说明一下什么的游标,12
76,注释符后面加空格,12
77,IllegalStateException 也会抛该异常,10
78,方法名修改一下，最好首字母不要大写,14
79,dirLib无法与注释的文件目录属性匹配,10
80,驼峰命名,12
81,注释符后面要空一格,12
